Nom français V1;Nom latin V1;Type modification;Nom français V2;Nom latin V2;Rang 1;Rang 2;Rang 3;Rang 4;Type taxon;Protocole Aspifaune;Protocole Noctambules;Protocole Escargot;Protocole vers
Les Escargots des haies;Cepaea nemoralis, hortensis et sylvatica;modifié (correction appelation);Les Escargots des haies, jardins, forêts;Cepaea nemoralis et hortensis, Macularia sylvatica;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Hélice tapada;Helix melanostoma;;L'Hélice tapada;Helix melanostoma;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Hélice des bois;Arianta arbustorum;;L'Hélice des bois;Arianta arbustorum;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Escargot de Bourgogne;Helix pomatia;;L'Escargot de Bourgogne;Helix pomatia;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
La Caragouille rosée;Theba pisana;;La Caragouille rosée;Theba pisana;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Le Petit-gris;Cornu aspersum;;Le Petit-gris;Cornu aspersum;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Hélice turque;Helix lucorum;modifié (correction appelation);L'Escargot turc;Helix lucorum;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
L'Hélice grimace;Isognomostoma isognomostomos;;L'Hélice grimace;Isognomostoma isognomostomos;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
;;ajout pour tous les protocoles;L'Hélice carénée;Hygromia cinctella;Les Escargots (Gastropoda);;;;taxon terminal;1;1;1;0
Les Mutilles, femelles;Mutillidae;;Les Mutilles, femelles;Mutillidae;;;;;taxon terminal;1;1;0;0
Les Guêpes aptères, femelles;Tiphiidae, Cryptinae;;Les Guêpes aptères, femelles;Tiphiidae, Cryptinae;;;;;taxon terminal;1;1;0;0
Les Fourmis;Formicidae;;Les Fourmis;Formicidae;Les Fourmis (Formicidae);;;;taxon intermédiaire;1;1;0;0
Les Fourmis, reines et princesses;Formicidae;;Les Fourmis, reines et princesses;Formicidae;Les Fourmis (Formicidae);;;;taxon terminal;1;1;0;0
Les Ponérines;Ponerinae;;Les Ponérines;Ponerinae;Les Fourmis (Formicidae);;;;taxon terminal;1;1;0;0
;;ajout;Les Myrmicines;Myrmicinae;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);;;taxon intermédiaire;1;1;0;0
Les Petites Myrmicines noires ou brun foncé;Myrmicinae;;Les Petites Myrmicines noires ou brun foncé;Myrmicinae;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines noires ou brun foncé (Myrmicinae);;taxon intermédiaire;1;1;0;0
Les Fourmis Acrobates à tête noire;Crematogaster sordidula et auberti;;Les Fourmis Acrobates à tête noire;Crematogaster sordidula et auberti;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines noires ou brun foncé (Myrmicinae);;taxon terminal;1;1;0;0
La Fourmi des pelouses;Myrmecina graminicola;;La Fourmi des pelouses;Myrmecina graminicola;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines noires ou brun foncé (Myrmicinae);;taxon terminal;1;1;0;0
Les Petites Myrmicines claires ou colorées;Myrmicinae;;Les Petites Myrmicines claires ou colorées;Myrmicinae;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines claires ou colorées (Myrmicinae);;taxon intermédiaire;1;1;0;0
La Fourmi Acrobate à tête rouge;Crematogaster scutellaris;;La Fourmi Acrobate à tête rouge;Crematogaster scutellaris;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines claires ou colorées (Myrmicinae);;taxon terminal;1;1;0;0
La Pheidole;Pheidole pallidula;;La Pheidole;Pheidole pallidula;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Petites Myrmicines claires ou colorées (Myrmicinae);;taxon terminal;1;1;0;0
Les Grandes Myrmicines rousses;Myrmicinae;;Les Grandes Myrmicines rousses;Myrmicinae;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines rousses (Myrmicinae);;taxon intermédiaire;1;1;0;0
La Grosse Fourmi rousse;Manica rubida;;La Grosse Fourmi rousse;Manica rubida;Les Fourmis (Formicidae);Les Myrmicines (Myrmicinae);Les Grandes Myrmicines rousses (Myrmicinae);;taxon terminal;1;1;0;0
