"thesaurus_bdd";"Nom français V1";"Nom latin V1";"Type de modification";"Nom français V2";"Nom latin V2";"Rang 1";"Rang 2";"Rang 3";"Rang 4";"Regroupement1a";"Regroupement1b";"Regroupement2a";"Regroupement2b";"Regroupement3";"Embranchement";"Sous-embranchement";"Classe";"Sous_classe&Infra_classe";"Ordre";"SousOrdre";"Famille";"Type taxon";"Niv_deter_global";"Niv_deter_detail";"Nb_sp";"Protocole Aspifaune";"Protocole Noctambules";"Protocole Escargot";"Protocole vers";"id_thesaurus_final";"id_thesaurus_bdd"
"qubs.taxon";"Le Lombric festif";"Lumbricus festivus";"";"Le Lombric festif";"Lumbricus festivus";"Les Vers de terre (Lumbricina)";"Les Vers épigés (Lumbricus, Dendrobaena et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"79";"92"
"qubs.taxon";"Les Vers épigés";"Lumbricus, Dendrobaena et autres genres";"";"Les Vers épigés";"Lumbricus, Dendrobaena et autres genres";"Les Vers de terre (Lumbricina)";"Les Vers épigés (Lumbricus, Dendrobaena et autres genres)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";NA;"taxon intermédiaire";"Plusieurs familles";"";"";"1";"1";"0";"1";"77";"90"
"qubs.taxon";"Les Vers tigrés";"Eisenia";"";"Les Vers tigrés";"Eisenia";"Les Vers de terre (Lumbricina)";"Les Vers tigrés (Eisenia)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon intermédiaire";"Genre";"Genre";"";"1";"1";"0";"1";"75";"88"
"qubs.taxon";"Le Ver tigré fétide";"Eisenia fetida";"";"Le Ver tigré fétide";"Eisenia fetida";"Les Vers de terre (Lumbricina)";"Les Vers tigrés (Eisenia)";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Crassiclitellata";"Lumbricina";"Lumbricidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"1";"76";"89"
"qubs.taxon";"Les Enchytréides";"Enchytraeidae";"";"Les Enchytréides";"Enchytraeidae";"Les Enchytréides (Enchytraeidae)";"";"";"";"Les Vers sens large";"Les Annélides";"Les Vers sens large";"Les Annélides";"Les Annélides";"Annelida";NA;"Clitellata";NA;"Enchytraeida";NA;NA;"taxon terminal";"Famille";"Famille";"";"1";"1";"0";"1";"62";"74"
"qubs.taxon";"L'Araignée chasseuse Olios";"Olios argelasius";NA;"L'Araignée chasseuse Olios";"Olios argelasius";"Les Araignées (Araneae)";"";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"Sparassidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"276";"328"
"qubs.taxon";"L'Araignée crabe Ebrechtella";"Ebrechtella tricuspidata";NA;"L'Araignée crabe Ebrechtella";"Ebrechtella tricuspidata";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"Thomisidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"319";"376"
"qubs.taxon";"L'Araignée crabe Napoléon";"Synema globosum";NA;"L'Araignée crabe Napoléon";"Synema globosum";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"Thomisidae";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"320";"377"
"qubs.taxon";"L'Araignée crabe Runcinia";"Runcinia grammica";NA;"L'Araignée crabe Runcinia";"Runcinia grammica";"Les Araignées (Araneae)";"Les Araignées crabes (Thomisidae, Philodromidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"321";"378"
"qubs.taxon";"L'Aulonie mains-blanches";"Aulonia albimana";"";"L'Aulonie mains-blanches";"Aulonia albimana";"Les Araignées (Araneae)";"Les Araignées loups (Lycosidae)";"";"";"Arachnides";"Les Araignées";"Arachnides";"Les Araignées";"Les Araignées";"Arthropoda";"Chelicerata";"Arachnida";"Micrura";"Araneae";"Araneomorphae";"";"taxon terminal";"Espèce";"Espèce";"1";"1";"1";"0";"0";"333";"390"
